1710,2003
1262,1976
1786,2001
1717,1915
2198,2000
1362,1993
1694,2004
2090,1973
1774,1931
1077,1939
1040,1965
2324,2005
912,1962
1494,2006
1253,1960
854,1929
1004,1970
1296,1967
1114,2004
1339,1958
2376,2005
1108,1930
1795,2002
1060,1976
1060,1968
1600,2007
900,1951
1704,2007
1600,1957
520,1927
1317,1920
1228,1966
1234,2007
1700,1959
1561,2005
2452,2004
1097,1994
1297,1954
1057,1953
1152,1955
1324,1965
1328,1959
884,1983
938,1975
1150,1959
1752,2005
2149,2003
1656,2006
1452,1920
955,1966
1470,1997
1176,1934
816,1963
1842,1981
1360,1955
1425,1964
1739,1999
1720,2004
2945,2006
780,1972
1158,2004
1111,1920
1370,2006
1710,1921
2034,1997
2473,2004
2207,1970
1479,2003
747,1945
2287,1953
2223,1973
845,1982
1718,1998
1086,1954
1605,1915
988,1973
952,1956
1285,1948
1768,1968
1230,1910
2142,1968
1337,1998
1563,2007
1065,1960
1474,1995
2417,1991
1560,2005
1224,2009
1526,1915
990,1994
1040,1950
1235,1961
964,1921
2291,1910
1786,1997
1470,1993
1588,1999
960,1965
835,1920
1225,1959
1610,1977
1732,1985
1535,1979
1226,2009
1818,1931
1992,2003
1047,1885
789,1948
1517,1919
1844,1977
1855,1954
1430,2000
2696,2007
2259,1953
2320,1945
1458,1999
1092,1962
1125,2006
3222,1990
1456,2005
988,1969
1123,1939
1080,1958
1199,1993
1586,1979
754,1935
958,1976
840,1930
1348,1966
1053,1958
2157,1966
2054,2000
1327,1959
1296,2001
1721,1968
1682,1970
1214,1967
1959,1988
1852,1999
1764,1997
864,1971
1734,2005
1385,1952
1501,1999
1728,1963
1709,2004
875,1931
2035,2001
1080,2004
1344,1936
969,1975
1710,2007
1993,1971
1252,1960
1200,1923
1096,1924
1040,1950
1968,2009
1947,2004
2462,2005
1232,1984
2668,2003
1541,2005
882,1956
1616,1926
1355,1940
1867,1955
2161,2007
1720,2004
1707,1981
1382,1941
1656,1960
1767,1987
1362,1961
1651,1986
2158,1950
2060,1988
1920,1958
2234,2008
968,1923
1525,2000
1802,1920
1340,1957
2082,2003
1252,1908
3608,1892
1217,1990
1656,1916
1224,1979
1593,2001
2727,1932
1479,1972
1431,1999
1709,2004
864,1972
1456,1976
1726,2007
3112,1918
2229,1912
1713,2004
1121,2003
1279,1977
1310,1924
848,2004
1284,1947
1442,1990
1696,1962
1100,1960
2062,1988
1092,1964
864,1925
1212,2009
1852,2009
990,1995
1392,1977
1236,1957
1436,2004
1328,1925
1954,1939
1248,2005
1498,2006
2267,2002
1552,1975
864,1971
2392,2003
1302,1971
2520,1995
987,1970
912,1967
1555,2005
1194,1959
2794,1995
987,1972
894,1976
1960,2002
987,1971
1414,2004
1744,1993
1694,2007
1487,1945
1566,2008
866,1945
1440,1900
1217,1980
2110,1994
1872,1988
1928,1910
1375,1954
1668,2003
2144,1958
1306,1940
1625,2006
1640,2004
1302,1964
1314,1957
2291,1999
1728,2003
1604,2006
1792,2001
882,1956
1382,1962
2574,2007
1212,1977
1316,1929
764,1925
1422,1981
1511,1997
2192,1939
778,1940
1113,1976
1939,2006
1363,1954
2270,1999
1632,1958
816,1982
1548,1925
1560,2003
864,1951
2121,2006
2022,1977
1982,1989
1262,2006
1314,2007
1468,2008
1575,1992
1250,2006
1734,1962
858,1971
900,1967
1396,1915
1919,2006
1716,1912
1716,1949
2263,1977
1644,1953
1003,1984
1558,1950
1950,1997
1743,1968
1152,1950
1336,1953
2452,1998
1541,2001
894,1972
3493,1880
2000,2004
2243,1990
1406,1920
861,1940
1944,2003
1501,1993
972,1948
1118,1939
2036,1965
1641,1925
1432,2004
2353,1980
1959,2006
2646,1993
1472,1980
2596,2006
2468,2004
2730,1986
1163,1955
2978,1967
803,1941
1719,1993
1383,1960
2134,1916
1192,1920
1728,1964
1056,1958
1629,2003
1358,2004
1638,1998
1786,1965
1922,2005
1536,2002
1621,1984
1215,1958
1908,2002
841,1950
1040,1949
1684,2005
1112,1976
1577,1939
958,1960
1478,1960
1626,2003
2728,2005
1869,2007
1453,1986
1111,1941
720,1928
1595,1940
1200,1995
1167,1992
1142,1976
1352,1958
1924,1998
912,1978
1505,1940
1922,2003
987,1972
1574,1976
1344,1920
1394,1963
1431,1962
1268,1954
1287,1959
1664,2000
1588,1959
752,1984
1319,1953
1928,2003
904,1922
914,1996
2466,2004
1856,2010
1800,2000
1691,1924
1301,2006
1797,2006
784,1928
1953,1992
1269,2004
1184,1910
1125,1976
1479,1999
2332,2007
1367,1900
1961,2001
882,1959
788,1941
1034,1940
1144,1956
894,1972
1812,1962
1077,1920
1550,2006
1288,1996
1310,2005
672,1940
2263,1998
1572,1995
1620,1976
1639,1936
1680,1915
2172,2006
2078,2007
1276,1958
1056,1955
1478,2009
1028,1927
2097,1993
1340,2007
1400,1978
2624,1918
1134,1940
1056,1968
1344,1997
1602,1977
988,1954
2630,1998
1196,1956
1389,1946
1644,1989
907,1957
1208,2007
1412,1988
987,1971
1198,1920
1365,1971
1604,1997
630,1972
1661,1996
1118,1920
904,1926
694,1913
1196,1920
